"hybrid" "dent" "flint" "GY" "GM" "hy"
"835" "D666:F380" "D666" "F380" 4.28 3.23 "666:380"
"836" "D666:F383" "D666" "F383" -29.28 0.24 "666:383"
"837" "D666:F394" "D666" "F394" -0.49 4.47 "666:394"
"838" "D666:F396" "D666" "F396" 3.24 0.95 "666:396"
"839" "D666:F397" "D666" "F397" 11.38 2.19 "666:397"
"840" "D666:F410" "D666" "F410" -9.23 -0.18 "666:410"
"841" "D666:F417" "D666" "F417" -0.4 1.99 "666:417"
"842" "D666:F427" "D666" "F427" -1.97 2.37 "666:427"
"843" "D666:F429" "D666" "F429" -2.99 0.46 "666:429"
"844" "D666:F430" "D666" "F430" 0.28 0.87 "666:430"
"845" "D666:F431" "D666" "F431" -2.8 -0.88 "666:431"
"846" "D671:F340" "D671" "F340" 13.73 0.51 "671:340"
"847" "D671:F348" "D671" "F348" 15.79 -1.05 "671:348"
"848" "D671:F355" "D671" "F355" 6.73 2.01 "671:355"
"849" "D671:F365" "D671" "F365" 14.1 0.77 "671:365"
"850" "D671:F380" "D671" "F380" 3.74 2.69 "671:380"
"851" "D671:F383" "D671" "F383" 13.47 -0.65 "671:383"
"852" "D671:F394" "D671" "F394" 9.83 2.39 "671:394"
"853" "D671:F396" "D671" "F396" 23.07 0.94 "671:396"
"854" "D671:F397" "D671" "F397" 13.76 1.1 "671:397"
"855" "D671:F410" "D671" "F410" 9.52 0.73 "671:410"
"856" "D671:F417" "D671" "F417" 14.07 1.5 "671:417"
"857" "D671:F427" "D671" "F427" 7.92 1.43 "671:427"
"858" "D671:F429" "D671" "F429" 11.2 0.12 "671:429"
"859" "D671:F430" "D671" "F430" 12.35 -1.19 "671:430"
"860" "D671:F431" "D671" "F431" 16.83 -1.31 "671:431"
"861" "D677:F355" "D677" "F355" 6.92 0.92 "677:355"
"862" "D677:F396" "D677" "F396" 13.04 0.31 "677:396"
"863" "D677:F410" "D677" "F410" 4.86 -0.63 "677:410"
"864" "D677:F417" "D677" "F417" 13.3 0.62 "677:417"
"865" "D677:F427" "D677" "F427" -1.51 0.88 "677:427"
"866" "D677:F429" "D677" "F429" 9.81 -0.83 "677:429"
"867" "D677:F430" "D677" "F430" 10.11 -0.37 "677:430"
"868" "D677:F431" "D677" "F431" 13.77 -2.06 "677:431"
"869" "D679:F355" "D679" "F355" 18.87 -3.9 "679:355"
"870" "D679:F365" "D679" "F365" 17.05 -5.83 "679:365"
"871" "D679:F383" "D679" "F383" 7.89 -4.63 "679:383"
"872" "D679:F394" "D679" "F394" 18.38 -2.34 "679:394"
"873" "D679:F396" "D679" "F396" 20.27 -4.75 "679:396"
"874" "D679:F397" "D679" "F397" 23.3 -3.95 "679:397"
"875" "D679:F410" "D679" "F410" 3.8 -3.6 "679:410"
"876" "D679:F417" "D679" "F417" 16.14 -5.33 "679:417"
"877" "D679:F427" "D679" "F427" 15.12 -2.69 "679:427"
"878" "D679:F429" "D679" "F429" 11.15 -5.36 "679:429"
"879" "D679:F430" "D679" "F430" 14.71 -4.32 "679:430"
"880" "D679:F431" "D679" "F431" 18.89 -5.48 "679:431"
"881" "D716:F355" "D716" "F355" -0.27 2.92 "716:355"
"882" "D716:F380" "D716" "F380" 4.92 3.9 "716:380"
"883" "D716:F396" "D716" "F396" 11.67 0.72 "716:396"
"884" "D716:F410" "D716" "F410" -2.69 0.8 "716:410"
"885" "D716:F417" "D716" "F417" 3.64 2.45 "716:417"
"886" "D716:F427" "D716" "F427" 2.43 1.92 "716:427"
"887" "D716:F429" "D716" "F429" 0.83 0.83 "716:429"
"888" "D716:F430" "D716" "F430" 4.65 0.36 "716:430"
"889" "D716:F431" "D716" "F431" 1.11 -1.03 "716:431"
"890" "D721:F340" "D721" "F340" 11.58 0.92 "721:340"
"891" "D721:F348" "D721" "F348" -0.88 0.28 "721:348"
"892" "D721:F355" "D721" "F355" 1.29 2.91 "721:355"
"893" "D721:F365" "D721" "F365" -6.79 1.56 "721:365"
"894" "D721:F380" "D721" "F380" -3.18 3.83 "721:380"
"895" "D721:F383" "D721" "F383" -1.64 0.71 "721:383"
"896" "D721:F394" "D721" "F394" 0.29 2.95 "721:394"
"897" "D721:F396" "D721" "F396" 7.85 0.79 "721:396"
"898" "D721:F397" "D721" "F397" 4.3 1.39 "721:397"
"899" "D721:F410" "D721" "F410" -9.1 2.19 "721:410"
"900" "D721:F417" "D721" "F417" 8.5 2.44 "721:417"
"901" "D721:F427" "D721" "F427" -8.82 3.15 "721:427"
"902" "D721:F429" "D721" "F429" 2.11 0.89 "721:429"
"903" "D721:F430" "D721" "F430" 0.29 0.74 "721:430"
"904" "D721:F431" "D721" "F431" 5.86 -1.49 "721:431"
"905" "D722:F340" "D722" "F340" 9.62 0.19 "722:340"
"906" "D722:F348" "D722" "F348" 8.07 -1.01 "722:348"
"907" "D722:F355" "D722" "F355" 1.17 1.35 "722:355"
"908" "D722:F365" "D722" "F365" -6.71 -0.64 "722:365"
"909" "D722:F380" "D722" "F380" -1.8 4.03 "722:380"
"910" "D722:F383" "D722" "F383" -1.33 -0.44 "722:383"
"911" "D722:F394" "D722" "F394" 2.95 3.16 "722:394"
"912" "D722:F396" "D722" "F396" 6.4 0.26 "722:396"
"913" "D722:F397" "D722" "F397" 5.71 1.39 "722:397"
"914" "D722:F410" "D722" "F410" -9.48 1.02 "722:410"
"915" "D722:F417" "D722" "F417" 7.29 0.59 "722:417"
"916" "D722:F427" "D722" "F427" -6.6 2.96 "722:427"
"917" "D722:F429" "D722" "F429" 3.53 0.15 "722:429"
"918" "D722:F430" "D722" "F430" 3.07 -0.13 "722:430"
"919" "D722:F431" "D722" "F431" 3.45 -1.72 "722:431"
"920" "D723:F340" "D723" "F340" 9.61 -0.05 "723:340"
"921" "D723:F348" "D723" "F348" 1.66 -0.78 "723:348"
"922" "D723:F355" "D723" "F355" 8.7 0.79 "723:355"
"923" "D723:F365" "D723" "F365" 4.71 0.06 "723:365"
"924" "D723:F380" "D723" "F380" 2.45 2.14 "723:380"
"925" "D723:F383" "D723" "F383" -0.17 -0.69 "723:383"
"926" "D723:F394" "D723" "F394" -3.64 1.87 "723:394"
"927" "D723:F396" "D723" "F396" 7.36 -0.67 "723:396"
"928" "D723:F397" "D723" "F397" 7.26 0.51 "723:397"
"929" "D723:F410" "D723" "F410" 0.49 0.3 "723:410"
"930" "D723:F417" "D723" "F417" 4.8 1.3 "723:417"
"931" "D723:F427" "D723" "F427" -5.33 1.73 "723:427"
"932" "D723:F429" "D723" "F429" 3.25 -0.14 "723:429"
"933" "D723:F430" "D723" "F430" 5.79 0.45 "723:430"
"934" "D723:F431" "D723" "F431" 2.29 -2.26 "723:431"
"935" "D726:F340" "D726" "F340" 11.5 0.15 "726:340"
"936" "D726:F348" "D726" "F348" 7.24 -1.46 "726:348"
"937" "D726:F355" "D726" "F355" 6.79 1.98 "726:355"
"938" "D726:F365" "D726" "F365" 0.13 1.03 "726:365"
"939" "D726:F380" "D726" "F380" 1.11 3.04 "726:380"
"940" "D726:F383" "D726" "F383" 5.61 0.34 "726:383"
"941" "D726:F394" "D726" "F394" 4.98 3.06 "726:394"
"942" "D726:F396" "D726" "F396" 11.02 0.94 "726:396"
"943" "D726:F397" "D726" "F397" 3.91 1.27 "726:397"
"944" "D726:F410" "D726" "F410" 0.01 -0.1 "726:410"
"945" "D726:F417" "D726" "F417" 5.64 -0.21 "726:417"
"946" "D726:F427" "D726" "F427" -4.1 2.21 "726:427"
"947" "D726:F429" "D726" "F429" 2.67 1.42 "726:429"
"948" "D726:F430" "D726" "F430" 5.19 -0.04 "726:430"
"949" "D726:F431" "D726" "F431" 5.09 -2.42 "726:431"
"950" "D662:F365" "D662" "F365" -0.82 1.39 "662:365"
"951" "D662:F417" "D662" "F417" -3.66 0.7 "662:417"
"952" "D706:F348" "D706" "F348" 5.81 -1.11 "706:348"
"953" "D706:F355" "D706" "F355" 3.84 1.17 "706:355"
"954" "D706:F365" "D706" "F365" 3.14 0.42 "706:365"
"955" "D706:F380" "D706" "F380" 0.31 2.08 "706:380"
"956" "D706:F383" "D706" "F383" -7.8 -0.36 "706:383"
"957" "D706:F394" "D706" "F394" 5.71 2.65 "706:394"
"958" "D706:F396" "D706" "F396" 0.88 0.77 "706:396"
"959" "D706:F410" "D706" "F410" -2.18 -0.65 "706:410"
"960" "D706:F417" "D706" "F417" 0.59 1.3 "706:417"
"961" "D706:F427" "D706" "F427" -3.79 1.13 "706:427"
"962" "D706:F429" "D706" "F429" 2.03 0.29 "706:429"
"963" "D706:F430" "D706" "F430" 6.3 0.29 "706:430"
"964" "D706:F431" "D706" "F431" -0.13 -1.52 "706:431"
"965" "D718:F383" "D718" "F383" -4.27 1.33 "718:383"
"966" "D718:F394" "D718" "F394" -6.13 4.03 "718:394"
"967" "D718:F396" "D718" "F396" 1.8 1.1 "718:396"
"968" "D718:F397" "D718" "F397" -4.14 2.6 "718:397"
"969" "D724:F340" "D724" "F340" 7.06 1.28 "724:340"
"970" "D724:F348" "D724" "F348" 5.24 -0.76 "724:348"
"971" "D724:F355" "D724" "F355" 4.5 3.38 "724:355"
"972" "D724:F365" "D724" "F365" 1.01 0.89 "724:365"
"973" "D724:F396" "D724" "F396" 7.95 1 "724:396"
"974" "D724:F397" "D724" "F397" 5.12 1.05 "724:397"
"975" "D724:F417" "D724" "F417" -3.7 1.51 "724:417"
"976" "D724:F430" "D724" "F430" 4.99 1.36 "724:430"
"977" "D725:F340" "D725" "F340" 6.74 -0.83 "725:340"
"978" "D725:F348" "D725" "F348" 9.05 -3.56 "725:348"
"979" "D725:F355" "D725" "F355" -3.64 1.3 "725:355"
"980" "D725:F365" "D725" "F365" -4.61 1.88 "725:365"
"981" "D725:F396" "D725" "F396" 8.6 -1.3 "725:396"
"982" "D725:F397" "D725" "F397" 0.81 -0.77 "725:397"
"983" "D725:F417" "D725" "F417" -4.41 0.16 "725:417"
"984" "D725:F430" "D725" "F430" 5.28 0.39 "725:430"
"985" "D3205:F1863" "D3205" "F1863" 2.85 0.51 "3205:1863"
"986" "D3205:F3216" "D3205" "F3216" 7.85 -2.07 "3205:3216"
"987" "D3205:F3217" "D3205" "F3217" 12.63 -1.43 "3205:3217"
"988" "D3205:F3218" "D3205" "F3218" 6.01 0.66 "3205:3218"
"989" "D3205:F3219" "D3205" "F3219" 7.49 -1.07 "3205:3219"
"990" "D3205:F340" "D3205" "F340" 7.59 0.03 "3205:340"
"991" "D3205:F348" "D3205" "F348" 11.29 -2.37 "3205:348"
"992" "D3205:F355" "D3205" "F355" -3.86 2.47 "3205:355"
"993" "D3205:F380" "D3205" "F380" 0.53 1.77 "3205:380"
"994" "D3205:F394" "D3205" "F394" 4.11 0.84 "3205:394"
"995" "D3205:F397" "D3205" "F397" 9.81 -0.64 "3205:397"
"996" "D3206:F1863" "D3206" "F1863" 13.68 1.18 "3206:1863"
"997" "D3206:F3216" "D3206" "F3216" 16.72 -2.31 "3206:3216"
"998" "D3206:F3217" "D3206" "F3217" 15.07 -0.4 "3206:3217"
"999" "D3206:F3218" "D3206" "F3218" 8.13 1.5 "3206:3218"
"1000" "D3206:F3219" "D3206" "F3219" 12.52 0.44 "3206:3219"
"1001" "D3206:F340" "D3206" "F340" 14.73 1.58 "3206:340"
"1002" "D3206:F348" "D3206" "F348" 16.77 -1.83 "3206:348"
"1003" "D3206:F355" "D3206" "F355" 9.34 1.62 "3206:355"
"1004" "D3206:F380" "D3206" "F380" 7.51 2.82 "3206:380"
"1005" "D3206:F394" "D3206" "F394" 11.21 2.29 "3206:394"
"1006" "D3206:F397" "D3206" "F397" 11.87 0.72 "3206:397"
"1007" "D3207:F1863" "D3207" "F1863" 5.37 1.82 "3207:1863"
"1008" "D3207:F3216" "D3207" "F3216" 12.49 -0.93 "3207:3216"
"1009" "D3207:F3217" "D3207" "F3217" 15.55 0.28 "3207:3217"
"1010" "D3207:F3218" "D3207" "F3218" 2.27 1.55 "3207:3218"
"1011" "D3207:F3219" "D3207" "F3219" 6.7 0.04 "3207:3219"
"1012" "D3207:F340" "D3207" "F340" -0.18 2.46 "3207:340"
"1013" "D3207:F348" "D3207" "F348" 5.13 -1.09 "3207:348"
"1014" "D3207:F355" "D3207" "F355" -9.54 3.24 "3207:355"
"1015" "D3207:F380" "D3207" "F380" 4.05 3.85 "3207:380"
"1016" "D3207:F394" "D3207" "F394" 0.31 4.55 "3207:394"
"1017" "D3207:F397" "D3207" "F397" 9.11 1.8 "3207:397"
"1018" "D3208:F1863" "D3208" "F1863" 8.78 3.48 "3208:1863"
"1019" "D3208:F3216" "D3208" "F3216" 10.94 0.35 "3208:3216"
"1020" "D3208:F3217" "D3208" "F3217" 7.33 0.71 "3208:3217"
"1021" "D3208:F3218" "D3208" "F3218" 11.64 2.04 "3208:3218"
"1022" "D3208:F3219" "D3208" "F3219" 15.25 1.91 "3208:3219"
"1023" "D3208:F340" "D3208" "F340" 15.29 2.48 "3208:340"
"1024" "D3208:F348" "D3208" "F348" 14.85 -0.16 "3208:348"
"1025" "D3208:F355" "D3208" "F355" 4.93 3.58 "3208:355"
"1026" "D3208:F380" "D3208" "F380" 3.83 4.19 "3208:380"
"1027" "D3208:F394" "D3208" "F394" 7.38 3.69 "3208:394"
"1028" "D3208:F397" "D3208" "F397" 6.73 3.13 "3208:397"
"1029" "D3209:F1863" "D3209" "F1863" 13.79 0.97 "3209:1863"
"1030" "D3209:F3216" "D3209" "F3216" 15.85 -1.95 "3209:3216"
"1031" "D3209:F3217" "D3209" "F3217" 20.89 -1.9 "3209:3217"
"1032" "D3209:F3218" "D3209" "F3218" 11.23 -0.4 "3209:3218"
"1033" "D3209:F3219" "D3209" "F3219" 12.68 -1.01 "3209:3219"
"1034" "D3209:F340" "D3209" "F340" 15.21 0.37 "3209:340"
"1035" "D3209:F348" "D3209" "F348" 16.91 -2.27 "3209:348"
"1036" "D3209:F355" "D3209" "F355" 4.58 1.37 "3209:355"
"1037" "D3209:F380" "D3209" "F380" 5.66 2.05 "3209:380"
"1038" "D3209:F394" "D3209" "F394" 8.87 1.35 "3209:394"
"1039" "D3209:F397" "D3209" "F397" 16.76 0.79 "3209:397"
"1040" "D3211:F3216" "D3211" "F3216" -1.22 -1.24 "3211:3216"
"1041" "D3211:F3217" "D3211" "F3217" 9.12 -1.69 "3211:3217"
"1042" "D3211:F380" "D3211" "F380" -3.54 2.84 "3211:380"
"1043" "D3211:F394" "D3211" "F394" -1.95 2.46 "3211:394"
"1044" "D3212:F3216" "D3212" "F3216" 6.28 -1.72 "3212:3216"
"1045" "D3212:F3217" "D3212" "F3217" 14.54 -1.58 "3212:3217"
"1046" "D3212:F340" "D3212" "F340" 10.84 -0.31 "3212:340"
"1047" "D3212:F348" "D3212" "F348" 11.54 -1.76 "3212:348"
"1048" "D3212:F380" "D3212" "F380" 5.78 1.38 "3212:380"
"1049" "D3212:F394" "D3212" "F394" 9.13 0.75 "3212:394"
"1050" "D3212:F397" "D3212" "F397" 12.41 0.09 "3212:397"
"1051" "D3213:F3216" "D3213" "F3216" 3.72 -0.59 "3213:3216"
"1052" "D3213:F3217" "D3213" "F3217" 3.61 -0.18 "3213:3217"
"1053" "D3213:F340" "D3213" "F340" 1.57 1.5 "3213:340"
"1054" "D3213:F348" "D3213" "F348" 6.71 -0.41 "3213:348"
"1055" "D3213:F380" "D3213" "F380" -2.77 3.1 "3213:380"
"1056" "D3213:F394" "D3213" "F394" -0.37 3.57 "3213:394"
"1057" "D3213:F397" "D3213" "F397" 2.66 2.24 "3213:397"
"1058" "D3214:F3216" "D3214" "F3216" 12.16 -2.06 "3214:3216"
"1059" "D3214:F3217" "D3214" "F3217" 14.81 -1.84 "3214:3217"
"1060" "D3214:F340" "D3214" "F340" 16.5 -0.68 "3214:340"
"1061" "D3214:F348" "D3214" "F348" 9.48 -2.46 "3214:348"
"1062" "D3214:F380" "D3214" "F380" 6.05 0.95 "3214:380"
"1063" "D3214:F394" "D3214" "F394" 13.63 0.24 "3214:394"
"1064" "D3214:F397" "D3214" "F397" 14.03 -0.52 "3214:397"
"1065" "D3215:F3217" "D3215" "F3217" 17.03 -0.27 "3215:3217"
"1066" "D3215:F340" "D3215" "F340" 13.66 1.13 "3215:340"
"1067" "D3215:F348" "D3215" "F348" 11.05 -0.7 "3215:348"
"1068" "D3215:F380" "D3215" "F380" 3.31 2.7 "3215:380"
"1069" "D3215:F394" "D3215" "F394" 5.8 2.51 "3215:394"
"1070" "D3215:F397" "D3215" "F397" 8.48 1.91 "3215:397"
"1071" "D647:F1863" "D647" "F1863" 9.87 2.5 "647:1863"
"1072" "D647:F3216" "D647" "F3216" 5.67 -0.04 "647:3216"
"1073" "D647:F3217" "D647" "F3217" 10.82 1.21 "647:3217"
"1074" "D647:F3218" "D647" "F3218" 10.8 1.75 "647:3218"
"1075" "D647:F3219" "D647" "F3219" 15.95 1.17 "647:3219"
"1076" "D652:F3216" "D652" "F3216" 13.57 -0.6 "652:3216"
"1077" "D652:F3217" "D652" "F3217" 19.01 -0.45 "652:3217"
"1078" "D671:F1863" "D671" "F1863" 11.88 1.32 "671:1863"
"1079" "D671:F3216" "D671" "F3216" 10.26 -0.56 "671:3216"
"1080" "D671:F3217" "D671" "F3217" 14.04 -0.19 "671:3217"
"1081" "D671:F3218" "D671" "F3218" 6.74 -0.38 "671:3218"
"1082" "D671:F3219" "D671" "F3219" 6.18 -0.58 "671:3219"
"1083" "D677:F3216" "D677" "F3216" 10.76 -1.81 "677:3216"
"1084" "D677:F3217" "D677" "F3217" 15.47 -1.8 "677:3217"
"1085" "D724:F3217" "D724" "F3217" -1.73 -0.37 "724:3217"
"1086" "D724:F3218" "D724" "F3218" 2.32 1.66 "724:3218"
"1087" "D724:F394" "D724" "F394" -3.07 2.88 "724:394"
"1088" "D725:F1863" "D725" "F1863" 3.09 0.06 "725:1863"
"1089" "D725:F3216" "D725" "F3216" 10.89 -2.93 "725:3216"
"1090" "D725:F3217" "D725" "F3217" 13.52 -1.65 "725:3217"
"1091" "D725:F3218" "D725" "F3218" 2.69 -1.19 "725:3218"
"1092" "D725:F3219" "D725" "F3219" 8.46 -1.53 "725:3219"
"1093" "D725:F380" "D725" "F380" -6.36 1.8 "725:380"
"1094" "D725:F394" "D725" "F394" 4.99 0.42 "725:394"
"1095" "D3215:F3216" "D3215" "F3216" 10.35 -0.48 "3215:3216"
"1096" "D3208:F3614" "D3208" "F3614" 5.81 2.15 "3208:3614"
"1097" "D3208:F3615" "D3208" "F3615" 6.53 4.13 "3208:3615"
"1098" "D3208:F3616" "D3208" "F3616" -0.99 0.38 "3208:3616"
"1099" "D3208:F3617" "D3208" "F3617" 4.24 -1.74 "3208:3617"
"1100" "D3208:F3618" "D3208" "F3618" 13.88 3.94 "3208:3618"
"1101" "D3208:F3620" "D3208" "F3620" 10.96 4.2 "3208:3620"
"1102" "D3208:F392" "D3208" "F392" 16.57 1.72 "3208:392"
"1103" "D3209:F3614" "D3209" "F3614" 17.28 -1.47 "3209:3614"
"1104" "D3209:F3615" "D3209" "F3615" 14.92 0.8 "3209:3615"
"1105" "D3209:F3616" "D3209" "F3616" 10.65 -2.26 "3209:3616"
"1106" "D3209:F3617" "D3209" "F3617" 7.56 -3.11 "3209:3617"
"1107" "D3209:F3618" "D3209" "F3618" 14.13 0.36 "3209:3618"
"1108" "D3209:F392" "D3209" "F392" 12.08 -1.69 "3209:392"
"1109" "D3283:F1863" "D3283" "F1863" 10.55 1.41 "3283:1863"
"1110" "D3283:F3217" "D3283" "F3217" 8.94 0.12 "3283:3217"
"1111" "D3283:F340" "D3283" "F340" 5.59 1.5 "3283:340"
"1112" "D3283:F3614" "D3283" "F3614" 5.02 0.44 "3283:3614"
"1113" "D3283:F3616" "D3283" "F3616" 8.09 -0.54 "3283:3616"
"1114" "D3283:F3617" "D3283" "F3617" 12.32 -2.11 "3283:3617"
"1115" "D3283:F3618" "D3283" "F3618" 1.32 1.56 "3283:3618"
"1116" "D3283:F392" "D3283" "F392" 6.85 -0.3 "3283:392"
"1117" "D3283:F394" "D3283" "F394" -5.55 3.08 "3283:394"
"1118" "D3283:F397" "D3283" "F397" 5.66 2.79 "3283:397"
"1119" "D3605:F1863" "D3605" "F1863" 13.97 -0.59 "3605:1863"
"1120" "D3605:F3217" "D3605" "F3217" 18.86 -1.52 "3605:3217"
"1121" "D3605:F3614" "D3605" "F3614" 6.8 -2.1 "3605:3614"
"1122" "D3605:F3615" "D3605" "F3615" 10.91 -0.18 "3605:3615"
"1123" "D3605:F3616" "D3605" "F3616" 11.12 -3.69 "3605:3616"
"1124" "D3605:F3617" "D3605" "F3617" 13.44 -4.6 "3605:3617"
"1125" "D3605:F3618" "D3605" "F3618" 15.83 -0.75 "3605:3618"
"1126" "D3605:F3620" "D3605" "F3620" 12.33 0.15 "3605:3620"
"1127" "D3605:F392" "D3605" "F392" 18.63 -2.53 "3605:392"
"1128" "D3605:F394" "D3605" "F394" 5.39 0.99 "3605:394"
"1129" "D3605:F397" "D3605" "F397" 8.45 -0.1 "3605:397"
"1130" "D3606:F1863" "D3606" "F1863" 19.54 -0.18 "3606:1863"
"1131" "D3606:F3217" "D3606" "F3217" 22.69 -3.02 "3606:3217"
"1132" "D3606:F340" "D3606" "F340" 20.5 -2.12 "3606:340"
"1133" "D3606:F3614" "D3606" "F3614" 26.62 -1.83 "3606:3614"
"1134" "D3606:F3615" "D3606" "F3615" 21.83 -1.66 "3606:3615"
"1135" "D3606:F3616" "D3606" "F3616" 18.69 -4.42 "3606:3616"
"1136" "D3606:F3617" "D3606" "F3617" 17.9 -4.59 "3606:3617"
"1137" "D3606:F3618" "D3606" "F3618" 22.09 -1.5 "3606:3618"
"1138" "D3606:F392" "D3606" "F392" 27.97 -2.13 "3606:392"
"1139" "D3606:F394" "D3606" "F394" 13.62 -0.29 "3606:394"
"1140" "D3606:F397" "D3606" "F397" 21.07 -1.26 "3606:397"
"1141" "D3607:F1863" "D3607" "F1863" 24 -1.27 "3607:1863"
"1142" "D3607:F3217" "D3607" "F3217" 19.96 -4.34 "3607:3217"
"1143" "D3607:F340" "D3607" "F340" 26.05 -3.39 "3607:340"
"1144" "D3607:F3614" "D3607" "F3614" 18.83 -2.92 "3607:3614"
"1145" "D3607:F3615" "D3607" "F3615" 25.98 -2.74 "3607:3615"
"1146" "D3607:F3616" "D3607" "F3616" 20.64 -5.62 "3607:3616"
"1147" "D3607:F3617" "D3607" "F3617" 19.81 -5.57 "3607:3617"
"1148" "D3607:F3618" "D3607" "F3618" 25.13 -2.9 "3607:3618"
"1149" "D3607:F3619" "D3607" "F3619" 16.92 -1.08 "3607:3619"
"1150" "D3607:F3620" "D3607" "F3620" 22.6 -2.15 "3607:3620"
"1151" "D3607:F392" "D3607" "F392" 26.13 -3.71 "3607:392"
"1152" "D3607:F394" "D3607" "F394" 14.38 -1.69 "3607:394"
"1153" "D3607:F397" "D3607" "F397" 24.29 -2.99 "3607:397"
"1154" "D3608:F340" "D3608" "F340" 20.07 -0.55 "3608:340"
"1155" "D3608:F3614" "D3608" "F3614" 22.85 -0.85 "3608:3614"
"1156" "D3608:F3616" "D3608" "F3616" 5.15 -1.14 "3608:3616"
"1157" "D3608:F3617" "D3608" "F3617" 13.24 -3.85 "3608:3617"
"1158" "D3608:F3618" "D3608" "F3618" 20.68 -0.16 "3608:3618"
"1159" "D3608:F392" "D3608" "F392" 19.01 -1.25 "3608:392"
"1160" "D3608:F394" "D3608" "F394" 14.04 1.19 "3608:394"
"1161" "D3608:F397" "D3608" "F397" 23.55 -0.21 "3608:397"
"1162" "D3609:F1863" "D3609" "F1863" 12.61 0.91 "3609:1863"
"1163" "D3609:F3217" "D3609" "F3217" 20.94 -1.42 "3609:3217"
"1164" "D3609:F340" "D3609" "F340" 13.82 -0.98 "3609:340"
"1165" "D3609:F3614" "D3609" "F3614" 12.51 -0.02 "3609:3614"
"1166" "D3609:F3615" "D3609" "F3615" 18.89 -0.41 "3609:3615"
"1167" "D3609:F3616" "D3609" "F3616" 15.77 -3.32 "3609:3616"
"1168" "D3609:F3617" "D3609" "F3617" 13.25 -2.74 "3609:3617"
"1169" "D3609:F3618" "D3609" "F3618" 16.01 -0.68 "3609:3618"
"1170" "D3609:F3619" "D3609" "F3619" 6.39 -0.02 "3609:3619"
"1171" "D3609:F392" "D3609" "F392" 9.01 -0.99 "3609:392"
"1172" "D3609:F394" "D3609" "F394" 12.5 1.31 "3609:394"
"1173" "D3609:F397" "D3609" "F397" 12.15 0.67 "3609:397"
"1174" "D3610:F1863" "D3610" "F1863" 15.45 -0.05 "3610:1863"
"1175" "D3610:F3614" "D3610" "F3614" 10.21 -1.52 "3610:3614"
"1176" "D3610:F3615" "D3610" "F3615" 6.93 -1.61 "3610:3615"
"1177" "D3610:F3616" "D3610" "F3616" 1.39 -2.06 "3610:3616"
"1178" "D3610:F3617" "D3610" "F3617" 0.35 -4.04 "3610:3617"
"1179" "D3610:F3618" "D3610" "F3618" 4.35 -0.52 "3610:3618"
"1180" "D3610:F392" "D3610" "F392" 5.69 -2.25 "3610:392"
"1181" "D3610:F394" "D3610" "F394" 2.56 0.71 "3610:394"
"1182" "D3610:F397" "D3610" "F397" 7.33 -0.2 "3610:397"
"1183" "D3611:F1863" "D3611" "F1863" 19.67 0.8 "3611:1863"
"1184" "D3611:F3217" "D3611" "F3217" 22.48 -1.61 "3611:3217"
"1185" "D3611:F340" "D3611" "F340" 23.23 -0.92 "3611:340"
"1186" "D3611:F3614" "D3611" "F3614" 21.28 -1.81 "3611:3614"
"1187" "D3611:F3615" "D3611" "F3615" 25.35 -0.38 "3611:3615"
"1188" "D3611:F3616" "D3611" "F3616" 9.57 -2.11 "3611:3616"
"1189" "D3611:F3617" "D3611" "F3617" 14.98 -3.32 "3611:3617"
"1190" "D3611:F3618" "D3611" "F3618" 21.97 -1.4 "3611:3618"
"1191" "D3611:F3619" "D3611" "F3619" 10.72 0.59 "3611:3619"
"1192" "D3611:F392" "D3611" "F392" 18.25 -1.15 "3611:392"
"1193" "D3611:F394" "D3611" "F394" 13.38 1 "3611:394"
"1194" "D3611:F397" "D3611" "F397" 19.04 0.73 "3611:397"
"1195" "D3612:F1863" "D3612" "F1863" 14.5 -0.85 "3612:1863"
"1196" "D3612:F3217" "D3612" "F3217" 13.03 -3.01 "3612:3217"
"1197" "D3612:F340" "D3612" "F340" 11.98 -1.85 "3612:340"
"1198" "D3612:F3614" "D3612" "F3614" 11.27 -1.44 "3612:3614"
"1199" "D3612:F3615" "D3612" "F3615" 13.99 -1.88 "3612:3615"
"1200" "D3612:F3616" "D3612" "F3616" 0.73 -2.56 "3612:3616"
"1201" "D3612:F3617" "D3612" "F3617" 4.77 -4.18 "3612:3617"
"1202" "D3612:F3618" "D3612" "F3618" 7.55 -1.62 "3612:3618"
"1203" "D3612:F3619" "D3612" "F3619" 9.53 -0.35 "3612:3619"
"1204" "D3612:F392" "D3612" "F392" 7.62 -1.98 "3612:392"
"1205" "D3612:F394" "D3612" "F394" -2.21 0.12 "3612:394"
"1206" "D3612:F397" "D3612" "F397" 8.14 -0.06 "3612:397"
"1207" "D3613:F1863" "D3613" "F1863" 13.2 3.05 "3613:1863"
"1208" "D3613:F3217" "D3613" "F3217" 11.69 0.04 "3613:3217"
"1209" "D3613:F3616" "D3613" "F3616" 9.73 -1.35 "3613:3616"
"1210" "D3613:F3617" "D3613" "F3617" 2.48 -2.93 "3613:3617"
"1211" "D3613:F3618" "D3613" "F3618" 11.79 0.93 "3613:3618"
"1212" "D3613:F392" "D3613" "F392" 9.5 -0.67 "3613:392"
"1213" "D3613:F394" "D3613" "F394" 7.9 2.45 "3613:394"
"1214" "D3613:F397" "D3613" "F397" 4.72 1.94 "3613:397"
